chapter_id,difficulty,stem,option_a,option_b,option_c,option_d,correct_option,explanation,icai_reference
ca-inter-audit/execution-procedures/ch07,medium,Monetary Unit Sampling (MUS) is most appropriately used for:,Tests of controls where transactions are binary (complied / not complied),Substantive testing of account balances where larger items have a higher chance of selection,Attribute sampling of large populations with qualitative characteristics,Evaluating the completeness of liabilities recorded,B,"MUS assigns each monetary unit an equal probability of selection giving larger items a higher chance — ideal for substantive tests of overstatement.",
ca-inter-audit/execution-procedures/ch08,easy,Analytical procedures performed at the planning stage are primarily used to:,Obtain substantive evidence on account balances,Enhance the auditor's understanding of the entity and identify risk areas,Detect specific instances of fraud,Confirm amounts disclosed in the notes to financial statements,B,"SA 520 distinguishes planning analytics (to understand the entity and identify unusual items) from final analytics.",SA 520
ca-inter-audit/execution-procedures/ch08,medium,"When an analytical procedure produces an unexpected result the auditor should:",Immediately conclude there is a material misstatement,Disregard it if management provides an explanation,Obtain and evaluate sufficient appropriate evidence to resolve the difference,Reduce the planned extent of further procedures,C,"Unexpected results are red flags requiring further investigation. Management's explanation must be corroborated with audit evidence.",
ca-inter-audit/execution-procedures/ch09,medium,Cut-off testing for sales primarily addresses which financial statement assertion?,Valuation,Completeness,Occurrence and Cut-off,Rights and Obligations,C,"Cut-off testing verifies that transactions are recorded in the correct accounting period — directly addressing occurrence and cut-off assertions.",
ca-inter-audit/execution-procedures/ch09,hard,"When auditing inventory physical stock count observation is classified as:",An inquiry procedure,An analytical procedure,An inspection of tangible assets,A recalculation procedure,C,"Attending a physical stock count and observing/inspecting inventory is classified as inspection of tangible assets under SA 500.",SA 501
ca-inter-audit/reporting-specialised/ch10,easy,"Under the Companies Act 2013 an auditor of a public company can be appointed for a maximum consecutive term of:",3 years,5 years,10 years,15 years,B,"Section 139 limits auditor tenure for public companies to one term of 5 consecutive years after which mandatory rotation applies.",Companies Act 2013 Section 139
ca-inter-audit/reporting-specialised/ch10,medium,CARO 2020 requires reporting on which of the following matters?,Management's assessment of going concern,Details of immovable property titles and whether they are in the company's name,Related party disclosures under Ind AS 24,Auditor's opinion on internal financial controls,B,"CARO 2020 specifically requires reporting on whether title deeds of immovable properties are in the name of the company.",CARO 2020 Clause 1(i)
ca-inter-audit/reporting-specialised/ch11,easy,An Emphasis of Matter paragraph in an audit report:,Modifies the auditor's opinion,"Draws attention to a matter disclosed in the financial statements that is fundamental to users' understanding without modifying the opinion",Indicates a qualified opinion due to a material misstatement,Is included only when the auditor issues a disclaimer of opinion,B,"Per SA 706 an Emphasis of Matter paragraph highlights something the auditor considers fundamental without affecting the opinion.",SA 706
ca-inter-audit/reporting-specialised/ch11,medium,A Qualified Opinion is issued when:,The auditor is unable to obtain sufficient appropriate audit evidence and the possible effects are pervasive,There is a material misstatement or scope limitation whose effects are material but not pervasive,The financial statements are free from material misstatement in all respects,The going concern assumption is inappropriate,B,"SA 705: Qualified = material but NOT pervasive. Adverse = material AND pervasive misstatement. Disclaimer = material AND pervasive inability to obtain evidence.",SA 705
ca-inter-audit/reporting-specialised/ch12,medium,The primary purpose of the Long Form Audit Report (LFAR) in a bank audit is to:,Replace the statutory audit report,"Report to the Reserve Bank of India and the bank's Board on specific operational and compliance matters",Certify that the bank is solvent and meets capital adequacy norms,Express an opinion on the bank's credit rating,B,"The LFAR is an additional report required by RBI covering NPA classification IRAC norms compliance and internal controls.",
ca-inter-audit/reporting-specialised/ch12,hard,"Under RBI's IRAC norms a loan account is classified as a Non-Performing Asset (NPA) when principal or interest remains overdue for more than:",30 days,60 days,90 days,180 days,C,"RBI's IRAC norms classify an account as NPA when principal or interest is overdue for more than 90 days.",
